EmpID,DailyRate,Department,EmployeeCount,EmployeeNumber,HourlyRate,JobInvolvement,JobLevel,JobRole,MonthlyIncome,MonthlyRate,Over18,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM297,230,Research & Development,1,405,54,3,1,Laboratory Technician,1420,25233,Y,No,13,3,80,0,0,2,0,0,0,0
RM302,812,Sales,1,411,69,2,1,Sales Representative,1200,9724,Y,No,12,3,80,0,0,2,0,0,0,0
RM458,1306,Sales,1,614,69,3,1,Sales Representative,1878,8059,Y,Yes,14,3,80,0,0,3,0,0,0,0
RM728,287,Research & Development,1,1012,73,3,1,Research Scientist,1051,13493,Y,No,15,3,80,0,0,2,0,0,0,0
RM829,247,Research & Development,1,1156,80,3,1,Laboratory Technician,1904,13556,Y,No,12,3,80,0,0,0,0,0,0,0
RM973,1124,Research & Development,1,1368,97,3,1,Laboratory Technician,1611,19305,Y,No,15,3,80,0,0,5,0,0,0,0
RM1154,544,Sales,1,1624,70,3,1,Sales Representative,1569,18420,Y,Yes,12,3,80,0,0,2,0,0,0,0
RM1312,1431,Research & Development,1,1839,33,3,1,Research Scientist,1514,8018,Y,No,16,3,80,0,0,4,0,0,0,0
RM128,528,Sales,1,167,50,3,1,Sales Representative,1675,26820,Y,Yes,19,3,80,0,0,2,0,0,0,0
RM150,1181,Research & Development,1,201,79,3,1,Laboratory Technician,1483,16102,Y,No,14,3,80,0,1,3,1,0,0,0
RM172,602,Sales,1,235,100,1,1,Sales Representative,2325,20989,Y,No,21,4,80,0,1,5,0,0,0,0
RM178,303,Research & Development,1,243,47,2,1,Laboratory Technician,1102,9241,Y,No,22,4,80,0,1,3,1,0,1,0
RM423,489,Human Resources,1,566,52,2,1,Human Resources,2564,18437,Y,No,12,3,80,0,1,3,1,0,0,0
RM689,419,Sales,1,959,37,2,1,Sales Representative,2121,9947,Y,Yes,13,3,80,0,1,3,1,0,0,0
RM854,645,Research & Development,1,1193,54,3,1,Research Scientist,2552,7172,Y,No,25,4,80,0,1,4,1,1,0,0
RM893,504,Research & Development,1,1248,96,2,1,Research Scientist,1859,6148,Y,Yes,25,4,80,0,1,2,1,1,0,0
RM910,265,Research & Development,1,1269,57,4,1,Research Scientist,2994,21221,Y,Yes,12,3,80,0,1,2,1,0,0,1
RM103,871,Research & Development,1,137,66,2,1,Laboratory Technician,2926,19783,Y,Yes,18,3,80,0,1,5,1,0,1,0
RM488,959,Research & Development,1,657,83,2,1,Research Scientist,2836,11757,Y,No,13,3,80,0,1,0,1,0,0,0
RM514,1362,Research & Development,1,701,32,3,1,Research Scientist,1009,26999,Y,Yes,11,3,80,0,1,5,1,0,1,1
RM663,500,Sales,1,922,49,2,1,Sales Representative,2044,22052,Y,No,13,3,80,0,2,3,2,2,0,2
RM690,129,Research & Development,1,960,84,3,1,Laboratory Technician,2973,13008,Y,No,19,3,80,0,1,2,1,0,0,0
RM732,1097,Research & Development,1,1016,98,2,1,Research Scientist,2600,18275,Y,Yes,15,3,80,0,1,2,1,0,0,0
RM777,769,Sales,1,1077,54,3,1,Sales Representative,2323,17205,Y,Yes,14,3,80,0,2,3,2,2,0,2
RM857,805,Research & Development,1,1198,87,2,1,Laboratory Technician,3033,12828,Y,No,12,3,80,0,2,2,2,2,1,2
RM877,654,Sales,1,1226,43,4,1,Sales Representative,2678,5050,Y,No,17,3,80,0,2,2,2,1,2,2
RM1179,1141,Sales,1,1657,31,3,1,Sales Representative,2783,13251,Y,No,19,3,80,0,2,3,2,2,2,2
RM1198,727,Sales,1,1680,54,3,1,Sales Representative,2728,21082,Y,No,11,3,80,0,2,3,2,2,0,2
RM024,391,Research & Development,1,30,96,3,1,Research Scientist,1232,19281,Y,No,14,3,80,0,0,6,0,0,0,
RM275,996,Research & Development,1,379,100,2,1,Research Scientist,3230,10531,Y,No,17,3,80,0,3,4,3,2,1,0
RM358,756,Sales,1,478,99,2,1,Sales Representative,2174,9150,Y,Yes,11,3,80,0,3,3,3,2,1,2
RM363,895,Sales,1,484,39,3,1,Sales Representative,2610,2851,Y,No,24,4,80,0,3,3,3,2,2,
RM371,156,Sales,1,494,90,4,1,Sales Representative,2716,25422,Y,No,15,3,80,0,1,0,1,0,0,0
RM497,1343,Sales,1,669,49,3,1,Sales Representative,3447,24444,Y,No,11,3,80,0,3,2,3,2,1,2
RM664,1427,Research & Development,1,923,65,3,1,Research Scientist,2693,8870,Y,No,19,3,80,0,1,3,1,0,0,0
RM778,1334,Research & Development,1,1079,36,2,1,Laboratory Technician,1416,17258,Y,No,13,3,80,0,1,6,1,0,1,0
RM816,984,Research & Development,1,1131,70,2,1,Research Scientist,2070,25326,Y,Yes,11,3,80,0,2,6,2,2,2,2
RM916,251,Research & Development,1,1279,45,2,1,Laboratory Technician,2625,25308,Y,No,20,4,80,0,2,2,2,2,2,2
RM1153,546,Research & Development,1,1623,97,3,1,Research Scientist,3117,26009,Y,No,18,3,80,0,3,2,2,2,2,2
RM1272,337,Sales,1,1780,31,3,1,Sales Representative,2679,4567,Y,No,13,3,80,0,1,3,1,0,1,0
RM1437,501,Sales,1,2021,58,3,1,Sales Representative,2380,25479,Y,Yes,11,3,80,0,2,6,2,2,1,2
RM018,1123,Research & Development,1,22,96,4,1,Laboratory Technician,2935,7324,Y,Yes,13,3,80,2,1,2,1,0,0,0
RM110,534,Research & Development,1,144,59,3,1,Laboratory Technician,2871,23785,Y,No,15,3,80,0,1,5,0,0,0,0
RM129,594,Research & Development,1,169,100,3,1,Laboratory Technician,2523,19299,Y,No,14,3,80,1,3,2,2,1,2,1
RM161,1256,Research & Development,1,217,80,3,1,Research Scientist,2323,11992,Y,No,24,4,80,2,2,6,2,2,2,2
RM207,1136,Research & Development,1,284,60,4,1,Research Scientist,2328,12392,Y,Yes,16,3,80,1,4,2,4,2,2,
RM384,253,Research & Development,1,511,43,3,1,Research Scientist,2244,24440,Y,No,13,3,80,1,2,1,2,1,1,2
RM444,1368,Research & Development,1,593,99,2,1,Laboratory Technician,3894,9129,Y,No,16,3,80,0,4,3,2,2,1,2
RM499,604,Research & Development,1,675,69,3,1,Research Scientist,2773,12145,Y,No,20,4,80,0,3,3,2,2,2,2
RM631,1230,Research & Development,1,872,33,2,2,Manufacturing Director,4775,19146,Y,No,22,4,80,2,4,2,2,2,2,2
RM667,617,Research & Development,1,926,34,3,2,Manufacturing Director,4171,10022,Y,Yes,19,3,80,1,4,3,3,2,0,2
RM735,217,Research & Development,1,1019,94,1,1,Laboratory Technician,2451,6881,Y,No,15,3,80,1,4,3,4,3,1,1
RM861,1256,Research & Development,1,1203,48,2,1,Research Scientist,2853,4223,Y,Yes,11,3,80,1,1,5,0,0,0,0
RM1138,457,Research & Development,1,1605,85,2,1,Research Scientist,2814,10293,Y,Yes,14,3,80,0,4,2,4,2,1,3
RM1274,1294,Research & Development,1,1783,79,3,1,Laboratory Technician,2398,15999,Y,Yes,17,3,80,0,1,6,1,0,0,0
RM1340,391,Research & Development,1,1878,75,3,1,Research Scientist,2472,26092,Y,Yes,23,4,80,0,1,2,1,0,0,0
RM1424,581,Research & Development,1,2007,63,3,1,Research Scientist,3375,17624,Y,No,12,3,80,0,4,2,3,2,1,2
RM087,541,Sales,1,113,62,3,1,Sales Representative,2322,9518,Y,No,13,3,80,1,3,3,0,0,0,0
RM346,1309,Research & Development,1,465,83,3,1,Research Scientist,2904,16092,Y,No,12,3,80,2,4,2,4,2,0,2
RM517,885,Research & Development,1,705,58,4,1,Research Scientist,2819,8544,Y,No,16,3,80,1,5,3,3,2,0,2
